,BEquery_day_ahead_prices,ATquery_day_ahead_prices,BGquery_day_ahead_prices,HRquery_day_ahead_prices,CZquery_day_ahead_prices,DK_1query_day_ahead_prices,DE_LUquery_day_ahead_prices,DK_2query_day_ahead_prices,EEquery_day_ahead_prices,MKquery_day_ahead_prices,FIquery_day_ahead_prices,FRquery_day_ahead_prices,GRquery_day_ahead_prices,IE_SEMquery_day_ahead_prices,IT_SACO_ACquery_day_ahead_prices,IT_CALAquery_day_ahead_prices,IT_SACO_DCquery_day_ahead_prices,IT_CNORquery_day_ahead_prices,HUquery_day_ahead_prices,IT_CSUDquery_day_ahead_prices,IT_NORDquery_day_ahead_prices,IT_SARDquery_day_ahead_prices,IT_SICIquery_day_ahead_prices,IT_SUDquery_day_ahead_prices,LVquery_day_ahead_prices,LTquery_day_ahead_prices,MEquery_day_ahead_prices,LU_BZNquery_day_ahead_prices,NO_1query_day_ahead_prices,NO_2query_day_ahead_prices,NO_2_NSLquery_day_ahead_prices,NO_3query_day_ahead_prices,NLquery_day_ahead_prices,NO_5query_day_ahead_prices,NO_4query_day_ahead_prices,PLquery_day_ahead_prices,PTquery_day_ahead_prices,SE_1query_day_ahead_prices,SE_2query_day_ahead_prices,ROquery_day_ahead_prices,SE_3query_day_ahead_prices,SE_4query_day_ahead_prices,RSquery_day_ahead_prices,SIquery_day_ahead_prices,SKquery_day_ahead_prices,CHquery_day_ahead_prices,ESquery_day_ahead_prices,UA_IPSquery_day_ahead_prices
2023-12-31 23:00:00+00:00,0.1,0.1,0.1,0.1,0.1,16.99,0.1,29.13,38.37,105.14,38.37,0.1,107.09,41.26,107.09,107.09,107.09,107.09,0.1,107.09,107.09,107.09,107.09,107.09,38.37,38.37,91.82,0.1,53.79,53.79,56.37,29.56,0.1,55.41,29.56,76.69,63.33,29.56,29.56,0.1,29.56,29.56,7.07,0.1,0.1,25.97,63.33,57.0
2024-01-01 00:00:00+00:00,0.01,0.01,0.01,0.01,0.01,28.14,0.01,28.46,28.46,86.04,28.46,0.01,104.0,52.98,104.0,104.0,104.0,104.0,0.01,104.0,104.0,104.0,104.0,104.0,28.46,28.46,85.24,0.01,48.98,48.98,43.43,28.46,0.01,53.41,28.46,74.5,50.09,28.46,28.46,0.01,28.46,28.46,5.02,0.01,0.01,21.99,50.09,56.0
2024-01-01 01:00:00+00:00,0.0,0.02,0.04,0.03,0.02,26.66,0.0,26.66,26.66,57.44,26.66,0.0,100.0,52.33,100.0,100.0,100.0,100.0,0.04,100.0,100.0,100.0,100.0,100.0,26.66,26.66,77.28,0.0,27.45,27.45,40.92,26.66,0.0,52.03,26.66,73.29,47.5,26.66,26.66,0.04,26.66,26.66,1.1,0.03,0.05,14.32,47.5,38.0
2024-01-01 02:00:00+00:00,-0.01,0.0,0.01,0.0,0.0,4.14,-0.01,24.48,24.48,30.0,24.48,-0.01,85.66,36.02,85.66,85.66,85.66,85.66,0.01,85.66,85.66,85.66,85.66,85.66,24.48,24.48,70.05,-0.01,24.48,24.48,33.51,24.48,-0.01,50.74,24.48,71.58,43.5,24.48,24.48,0.01,24.48,24.48,2.3,0.0,0.01,11.37,43.5,32.0
2024-01-01 03:00:00+00:00,-0.03,-0.01,0.01,0.0,-0.01,-0.03,-0.03,24.01,24.01,10.38,24.01,-0.03,85.0,31.15,85.0,85.0,85.0,85.0,0.01,85.0,85.0,85.0,85.0,85.0,24.01,24.01,67.09,-0.03,24.01,24.01,30.01,24.01,-0.03,49.84,24.01,73.27,42.5,24.01,24.01,0.01,24.01,24.01,2.27,0.0,0.01,11.35,42.5,30.0
2024-01-01 04:00:00+00:00,-0.02,-0.01,0.01,0.0,-0.01,-0.02,-0.02,15.88,21.23,5.01,21.23,-0.02,85.53,30.98,85.53,85.53,85.53,85.53,0.01,85.53,85.53,85.53,85.53,85.53,21.23,21.23,67.09,-0.02,21.23,21.23,31.72,21.23,-0.02,53.77,21.23,74.32,42.09,21.23,21.23,0.01,21.23,21.23,5.4,0.0,0.01,11.39,42.09,30.0
2024-01-01 05:00:00+00:00,-0.05,0.0,0.04,0.02,0.0,-0.05,-0.05,15.87,22.62,65.99,22.62,-0.04,95.07,45.87,95.07,95.07,95.07,95.07,0.04,95.07,95.07,95.07,95.07,95.07,22.62,22.62,81.65,-0.05,22.62,22.62,36.58,22.62,-0.05,57.07,22.62,76.69,42.5,22.62,22.62,0.04,22.62,22.62,7.03,0.02,0.04,11.34,42.5,65.0
2024-01-01 06:00:00+00:00,-0.02,0.0,0.01,0.0,0.0,-0.02,-0.02,22.04,25.04,12.5,25.04,-0.01,103.07,68.81,104.07,104.07,104.07,104.07,0.01,104.07,104.07,104.07,104.07,104.07,25.04,25.04,79.93,-0.02,25.04,25.04,29.37,25.04,-0.02,57.22,25.04,74.55,42.59,25.04,25.04,0.01,25.04,25.04,7.97,0.0,0.01,8.31,42.59,200.0
2024-01-01 07:00:00+00:00,0.0,0.0,0.01,0.0,0.0,0.0,0.0,25.42,26.24,11.82,26.24,0.0,65.0,78.3,106.95,106.95,106.95,106.95,0.0,106.95,106.95,106.95,106.95,106.95,26.24,26.24,94.6,0.0,26.24,26.24,37.0,26.24,0.0,46.76,26.24,72.25,43.37,26.24,26.24,0.0,26.24,26.24,8.92,0.0,0.0,8.51,43.37,246.0
2024-01-01 08:00:00+00:00,0.04,0.04,0.04,0.04,0.04,0.08,0.04,32.21,32.21,13.13,32.21,0.04,47.34,82.76,107.08,107.08,107.08,107.08,0.04,107.08,107.08,107.08,107.08,107.08,32.21,32.21,82.1,0.04,32.21,32.21,37.19,32.21,0.04,46.89,30.93,76.01,42.29,32.21,32.21,0.04,32.21,32.21,12.96,0.04,0.04,10.63,42.29,246.0
